,Title,Director,Cast,id,genres,imdb_id,original_language,popularity,release_date,runtime,vote_average,vote_count
107,Shiddat,Kunal Deshmukh,"Sunny Kaushal,Radhika Madan,Mohit Raina,Diana Penty",824744.0,"Romance,Drama",tt11314148,hi,4.834,2021,2 hrs 26 min,7.8,12
108,Rashmi Rocket,Akarsh Khurana,"Taapsee Pannu,Priyanshu Painyuli,Abhishek Banerjee,Shweta Tripathi,Supriya Pathak",794819.0,Drama,tt10895556,hi,1.707,2021,2 hrs 9 min,7.6,8
109,Sanak,Kanishk Varma,"Vidyut Jammwal,Rukmini Maitra,Neha Dhupia,Chandan Roy,Chandan Roy,Amole Gupte",790019.0,"Action,Thriller",tt13912632,hi,2.123,2021,1 hrs 57 min,6.3,13
110,Sardar Udham,Shoojit Sircar,"Vicky Kaushal,Banita Sandhu",598826.0,"Crime,Drama,History",tt10280296,hi,12.339,2021,2 hrs 43 min,7.2,58
111,Bhavai,Hardik Gajjar,"Pratik Gandhi,Aindrita Ray",826178.0,"Romance,Drama",tt8591792,hi,1.737,2021,1 hrs 54 min,0.0,0
112,Dybbuk,Jay K,"Emraan Hashmi,Nikita Dutta,Manav Kaul",886440.0,"Horror,Thriller,Drama",tt15715122,hi,6.605,2021,1 hrs 58 min,5.8,10
113,Hum Do Hamare Do,Abhishek Jain,"Rajkummar Rao,Kriti Sanon,Paresh Rawal,Ratna Pathak",798159.0,"Comedy,Drama,Family",tt11816092,hi,2.554,2021,2 hrs 9 min,5.7,12
114,Meenakshi Sundareshwar,Vivek Soni,"Abhimanyu Dassani,Sanya Malhotra",828871.0,"Romance,Comedy",tt13529034,hi,4.102,2021,2 hrs 21 min,5.6,18
115,Sooryavanshi,Rohit Shetty,"Akshay Kumar,Katrina Kaif,Ajay Devgn,Ranveer Singh,Jaaved Jaaferi,Jackie Shroff,Gulshan Grover",592508.0,"Action,Crime,Thriller",tt9531772,hi,27.231,2021,2 hrs 25 min,5.8,137
116,Bunty Aur Babli 2,Varun V. Sharma,"Saif Ali,Rani Mukerji,Siddhant Chaturvedi,Sharvari Wagh",666390.0,"Comedy,Crime,Drama",tt10569922,hi,4.958,2021,2 hrs 18 min,6.8,4
117,Dhamaka,Ram Madhvani,"Kartik Aaryan,Mrunal Thakur,Amruta Subhash,Vikas Kumar,Vishwajeet Pradhan",767377.0,"Thriller,Drama,Crime",tt13510660,hi,16.413,2021,1 hrs 44 min,7.0,74
118,Cash,Rishab Seth,"Amol Parashar,Smiriti Kalra,Swanand Kirkire,Gulshan Grover,Kavin Dave",893614.0,"Comedy,Drama",tt15831978,hi,1.204,2021,1 hrs 59 min,7.0,1
119,Satyameva Jayate 2,Milap Zaveri,"John Abraham,Divya Khosla",695973.0,"Action,Crime,Drama,Thriller",tt10739666,hi,3.43,2021,2 hrs 21 min,5.8,12
120,Antim: The Final Truth,Mahesh Manjrekar,"Salman Khan,Aayush Sharma,Mahima Makwana",774607.0,Action,tt13491110,hi,6.271,2021,2 hrs 20 min,6.9,17
121,Chhorii,Vishal Furia,Nushrratt Bharuccha,711643.0,"Horror,Thriller",tt12861212,hi,3.042,2021,2 hrs 9 min,6.4,11
